meal_id,sort_order,ingredient_name,measure,image_url
53281,1,Ground Beef,1 lb,https://www.themealdb.com/images/ingredients/Ground_Beef.png
53281,2,Garlic,4 Cloves Crushed,https://www.themealdb.com/images/ingredients/Garlic.png
53281,3,Onion,1/2 cup,https://www.themealdb.com/images/ingredients/Onion.png
53281,4,Salt,To taste,https://www.themealdb.com/images/ingredients/Salt.png
53281,5,Pepper,To taste,https://www.themealdb.com/images/ingredients/Pepper.png
53281,6,Plum Tomatoes,3,https://www.themealdb.com/images/ingredients/Plum_Tomatoes.png
53281,7,Parsley,1 tsp,https://www.themealdb.com/images/ingredients/Parsley.png
53281,8,Water,1/2 cup,https://www.themealdb.com/images/ingredients/Water.png
53334,1,Corn Arepa Filled With Mozarella Cheese,2,https://www.themealdb.com/images/ingredients/Corn_Arepa_Filled_With_Mozarella_Cheese.png
53334,2,Fried Ripe Bananas,1,https://www.themealdb.com/images/ingredients/Fried_Ripe_Bananas.png
53334,3,Black Beans,1 Can,https://www.themealdb.com/images/ingredients/Black_Beans.png
53334,4,Pico De Gallo Sauce,1,https://www.themealdb.com/images/ingredients/Pico_De_Gallo_Sauce.png
53334,5,Shredded Meat,2kg,https://www.themealdb.com/images/ingredients/Shredded_Meat.png
53334,6,Tomato,1 chopped,https://www.themealdb.com/images/ingredients/Tomato.png
53334,7,Salt,Pinch,https://www.themealdb.com/images/ingredients/Salt.png
53334,8,Pepper,Pinch,https://www.themealdb.com/images/ingredients/Pepper.png
53329,1,Beef,500g,https://www.themealdb.com/images/ingredients/Beef.png
53329,2,Onion,1,https://www.themealdb.com/images/ingredients/Onion.png
53329,3,Red Pepper,1,https://www.themealdb.com/images/ingredients/Red_Pepper.png
53329,4,Garlic,2 cloves,https://www.themealdb.com/images/ingredients/Garlic.png
53329,5,Cumin,1 tsp,https://www.themealdb.com/images/ingredients/Cumin.png
53329,6,Oregano,1 tsp,https://www.themealdb.com/images/ingredients/Oregano.png
53329,7,Paprika,1 tsp,https://www.themealdb.com/images/ingredients/Paprika.png
53329,8,Beef Stock,1 L,https://www.themealdb.com/images/ingredients/Beef_Stock.png
53329,9,Water,2 1/2 cups,https://www.themealdb.com/images/ingredients/Water.png
53329,10,Salt,Pinch,https://www.themealdb.com/images/ingredients/Salt.png
53329,11,Cheese,200g,https://www.themealdb.com/images/ingredients/Cheese.png
53329,12,Extra Virgin Olive Oil,Pinch,https://www.themealdb.com/images/ingredients/Extra_Virgin_Olive_Oil.png
53133,1,Mixed Beef Cuts,2kg,https://www.themealdb.com/images/ingredients/Mixed_Beef_Cuts.png
53133,2,Chorizo,4,https://www.themealdb.com/images/ingredients/Chorizo.png
53133,3,Morcilla,2,https://www.themealdb.com/images/ingredients/Morcilla.png
53133,4,Salt,To taste,https://www.themealdb.com/images/ingredients/Salt.png
53099,1,Lean Minced Steak,500g,https://www.themealdb.com/images/ingredients/Lean_Minced_Steak.png
53099,2,Cooked Beetroot,100g,https://www.themealdb.com/images/ingredients/Cooked_Beetroot.png
53099,3,Naan Bread,2 small,https://www.themealdb.com/images/ingredients/Naan_Bread.png
53099,4,Rocket,50g,https://www.themealdb.com/images/ingredients/Rocket.png
53099,5,Soured cream and chive dip,4 tablespoons,https://www.themealdb.com/images/ingredients/Soured_cream_and_chive_dip.png
53366,1,Soy Sauce,1 tsp,https://www.themealdb.com/images/ingredients/Soy_Sauce.png
53366,2,Dry sherry,1 tsp,https://www.themealdb.com/images/ingredients/Dry_sherry.png
53366,3,Cornstarch,1/2 tsp,https://www.themealdb.com/images/ingredients/Cornstarch.png
53366,4,Black Pepper,1/8 teaspoon,https://www.themealdb.com/images/ingredients/Black_Pepper.png
53366,5,Sirloin steak,1 lb,https://www.themealdb.com/images/ingredients/Sirloin_steak.png
53366,6,Oyster Sauce,2 tablespoons,https://www.themealdb.com/images/ingredients/Oyster_Sauce.png
53366,7,Dry sherry,1 tsp,https://www.themealdb.com/images/ingredients/Dry_sherry.png
53366,8,Soy Sauce,1 tablespoon,https://www.themealdb.com/images/ingredients/Soy_Sauce.png
53366,9,Chicken Stock,1/4 cup,https://www.themealdb.com/images/ingredients/Chicken_Stock.png
53366,10,Broccoli,1 lb,https://www.themealdb.com/images/ingredients/Broccoli.png
53366,11,High Heat Cooking Oil,2 tablespoons,https://www.themealdb.com/images/ingredients/High_Heat_Cooking_Oil.png
53366,12,Garlic,2 cloves minced,https://www.themealdb.com/images/ingredients/Garlic.png
53366,13,Cornstarch,1 tsp,https://www.themealdb.com/images/ingredients/Cornstarch.png
53366,14,Water,1 tablespoon,https://www.themealdb.com/images/ingredients/Water.png
52874,1,Beef,1kg,https://www.themealdb.com/images/ingredients/Beef.png
52874,2,Plain Flour,2 tbs,https://www.themealdb.com/images/ingredients/Plain_Flour.png
52874,3,Rapeseed Oil,2 tbs,https://www.themealdb.com/images/ingredients/Rapeseed_Oil.png
52874,4,Red Wine,200ml,https://www.themealdb.com/images/ingredients/Red_Wine.png
52874,5,Beef Stock,400ml,https://www.themealdb.com/images/ingredients/Beef_Stock.png
52874,6,Onion,1 finely sliced,https://www.themealdb.com/images/ingredients/Onion.png
52874,7,Carrots,2 chopped,https://www.themealdb.com/images/ingredients/Carrots.png
52874,8,Thyme,3 sprigs,https://www.themealdb.com/images/ingredients/Thyme.png
52874,9,Mustard,2 tbs,https://www.themealdb.com/images/ingredients/Mustard.png
52874,10,Egg Yolks,2 free-range,https://www.themealdb.com/images/ingredients/Egg_Yolks.png
52874,11,Puff Pastry,400g,https://www.themealdb.com/images/ingredients/Puff_Pastry.png
52874,12,Green Beans,300g,https://www.themealdb.com/images/ingredients/Green_Beans.png
52874,13,Butter,25g,https://www.themealdb.com/images/ingredients/Butter.png
52874,14,Salt,pinch,https://www.themealdb.com/images/ingredients/Salt.png
