category_name,meal_id,meal_name,thumbnail_url
Beef,53281,Algerian Kefta (Meatballs),https://www.themealdb.com/images/media/meals/8rfd4q1764112993.jpg
Beef,53334,Arepa Pabellón,https://www.themealdb.com/images/media/meals/13fg4j1764441982.jpg
Beef,53329,Arepa pelua,https://www.themealdb.com/images/media/meals/jgl9qq1764437635.jpg
Beef,53133,Asado,https://www.themealdb.com/images/media/meals/kgfh3q1763075438.jpg
Beef,53099,Aussie Burgers,https://www.themealdb.com/images/media/meals/44bzep1761848278.jpg
Beef,53366,Beef and Broccoli Stir-Fry,https://www.themealdb.com/images/media/meals/m0p0j81765568742.jpg
Beef,52874,Beef and Mustard Pie,https://www.themealdb.com/images/media/meals/sytuqu1511553755.jpg
Beef,52878,Beef and Oyster pie,https://www.themealdb.com/images/media/meals/wrssvt1511556563.jpg
Beef,53071,Beef Asado,https://www.themealdb.com/images/media/meals/pkopc31683207947.jpg
Beef,52997,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",https://www.themealdb.com/images/media/meals/z0ageb1583189517.jpg
Beef,52904,Beef Bourguignon,https://www.themealdb.com/images/media/meals/vtqxtu1511784197.jpg
Beef,52812,Beef Brisket Pot Roast,https://www.themealdb.com/images/media/meals/ursuup1487348423.jpg
Beef,53070,Beef Caldereta,https://www.themealdb.com/images/media/meals/41cxjh1683207682.jpg
Beef,52873,Beef Dumpling Stew,https://www.themealdb.com/images/media/meals/uyqrrv1511553350.jpg
Beef,53317,Beef Empanadas,https://www.themealdb.com/images/media/meals/dxpc7j1764370714.jpg
Beef,52952,Beef Lo Mein,https://www.themealdb.com/images/media/meals/1529444830.jpg
Beef,53359,Beef Mandi,https://www.themealdb.com/images/media/meals/1nalo51765188375.jpg
Beef,53068,Beef Mechado,https://www.themealdb.com/images/media/meals/cgl60b1683206581.jpg
Beef,53238,Beef pho,https://www.themealdb.com/images/media/meals/pbzcrx1763765096.jpg
Beef,53053,Beef Rendang,https://www.themealdb.com/images/media/meals/bc8v651619789840.jpg
Beef,52834,Beef stroganoff,https://www.themealdb.com/images/media/meals/svprys1511176755.jpg
Beef,52824,Beef Sunday Roast,https://www.themealdb.com/images/media/meals/ssrrrs1503664277.jpg
Beef,52803,Beef Wellington,https://www.themealdb.com/images/media/meals/vvpprx1487325699.jpg
Beef,53013,Big Mac,https://www.themealdb.com/images/media/meals/urzj1d1587670726.jpg
Beef,53300,Bigos (Polish hunter's stew),https://www.themealdb.com/images/media/meals/fl4brj1764361323.jpg
Beef,53069,Bistek,https://www.themealdb.com/images/media/meals/4pqimk1683207418.jpg
Beef,52979,Bitterballen (Dutch meatballs),https://www.themealdb.com/images/media/meals/lhqev81565090111.jpg
Beef,53311,Borsch,https://www.themealdb.com/images/media/meals/804v1j1764367088.jpg
Beef,52826,Braised Beef Chilli,https://www.themealdb.com/images/media/meals/uuqvwu1504629254.jpg
Beef,53126,Brun Lapskaus (Norwegian Beef Vegetable Stew),https://www.themealdb.com/images/media/meals/6vi2cv1763075785.jpg
Beef,53141,Carbonada Criolla,https://www.themealdb.com/images/media/meals/8b2msz1763074897.jpg
Beef,53055,Cevapi Sausages,https://www.themealdb.com/images/media/meals/vc08jn1628769553.jpg
Beef,53319,Chivito sandwich,https://www.themealdb.com/images/media/meals/j80gmw1764372176.jpg
Beef,53063,Chivito uruguayo,https://www.themealdb.com/images/media/meals/n7qnkb1630444129.jpg
